token,Sd,Returns,Beta,Adjusted returns,Sharpe,Treynor
ADA,5.9,1.769,1.02,1.752,0.296949153,1.717647059
BNB,6.11,8.457,1.05,8.44,1.381342062,8.038095238
BTC,3.78,0.192,1,0.175,0.046296296,0.175
DOGE,15.78,27.44,1.32,27.423,1.7378327,20.775
DOT,6.4,0.13,1.2,0.113,0.01765625,0.094166667
ETH,5,2.107,1.1,2.09,0.418,1.9
MATIC,8.68,64.37,1.35,64.353,7.413940092,47.66888889
SHIB,20.36,3.13,1.36,3.113,0.152897839,2.288970588
SOL,7.46,8.864,1.08,8.847,1.185924933,8.191666667
XRP,6.49,0.466,1.04,0.449,0.069183359,0.431730769
