Country Name,Country Code,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Brazil,BRA,20663.17417,21098.93692,21024.56672,20109.68795,19291.34211,19389.40733,19581.16082,19671.80273,18774.48083,19510.12818
Argentina,ARG,16856.71822,17070.0712,16459.20496,16727.43474,16207.20083,16492.0664,15898.08653,15422.03615,13761.83735,15031.22311
Colombia,COL,15440127.35,16086269.18,16640987.32,16933516.53,17052167.75,17024302.92,17196734.6,17505636.68,16098026.2,17665552.57
Chile,CHL,9449454.866,9667005.048,9736429.496,9829503.67,9870148.269,9862592.588,10114431.55,10072508.73,9389018.233,10432077.46
Peru,PER,14613.55166,15329.9931,15530.15031,15835.06065,16218.7291,16353.20285,16712.66908,16813.20309,14762.20045,16538.47897
Venezuela,VEN,2091.531788,2089.714545,1990.823511,..,..,..,..,..,..,..
Ecuador,ECU,4159.365466,4300.25428,4394.815718,4328.557968,4203.115544,4227.237778,4206.802081,4137.253141,3756.805565,3862.192829
Bolivia,BOL,3472.594108,3650.654611,3790.976636,3915.422984,4022.391415,4130.841332,4244.528844,4278.337194,3851.007198,4030.923171
Uruguay,URY,463386.1818,483379.3963,497420.2888,497570.86,504186.9662,510529.281,511088.6067,511036.4808,478096.7464,497339.5388
Paraguay,PRY,24604861.94,26282071.17,27301069.12,27733461.73,28536860.36,29521081.9,30077150.39,29579653.03,28975654.51,29828298.8
Suriname,SUR,32465.5442,33048.61035,32774.75862,31325.11589,29482.21136,29649.37835,30820.14004,30870.55764,25726.43249,24614.81789
Guyana,GUY,1099204.647,1133522.372,1146458.275,1148230.53,1185881.355,1224049.235,1272191.392,1333835.393,1904574.228,2273207.544
