Date,Price,Open,High,Low,Vol.,Change %,,date2
"Nov 21, 2022",15780.00,"16,278.60","16,287.90","15,620.00",363.40K,-3.11%,,21/11/2022
"Nov 20, 2022",16286.70,"16,699.30","16,749.30","16,209.20",172.83K,-2.47%,,20/11/2022
"Nov 19, 2022",16699.20,"16,652.20","16,814.90","16,608.90",114.89K,0.37%,,19/11/2022
"Nov 18, 2022",16638.30,"16,715.40","16,846.30","16,553.00",241.96K,-0.32%,,18/11/2022
"Nov 17, 2022",16691.20,"16,540.50","16,739.70","16,425.80",257.00K,0.91%,,17/11/2022
"Nov 16, 2022",16540.50,"16,895.40","16,993.40","16,408.20",295.73K,-2.10%,,16/11/2022
"Nov 15, 2022",16895.10,"16,615.00","17,112.00","16,543.90",337.15K,1.69%,,15/11/2022
"Nov 14, 2022",16613.70,"16,325.00","17,158.40","15,834.00",442.46K,1.77%,,14/11/2022
"Nov 13, 2022",16324.50,"16,803.90","16,946.50","16,274.90",210.80K,-2.80%,,13/11/2022
"Nov 12, 2022",16795.20,"17,049.90","17,100.80","16,633.90",192.91K,-1.49%,,12/11/2022
"Nov 11, 2022",17049.90,"17,589.10","17,679.40","16,435.50",466.35K,-3.07%,,11/11/2022
"Nov 10, 2022",17589.10,"15,887.00","18,138.20","15,799.30",720.74K,10.71%,,10/11/2022
"Nov 09, 2022",15886.90,"18,538.90","18,583.80","15,603.30",869.57K,-14.25%,,09/11/2022
"Nov 08, 2022",18527.40,"20,589.00","20,667.50","17,260.00",865.10K,-10.01%,,08/11/2022
"Nov 07, 2022",20589.00,"20,916.30","21,055.40","20,410.50",414.24K,-1.56%,,07/11/2022
"Nov 06, 2022",20916.30,"21,298.70","21,360.40","20,901.00",242.26K,-1.81%,,06/11/2022
"Nov 05, 2022",21301.60,"21,145.70","21,464.70","21,084.10",261.23K,0.74%,,05/11/2022
"Nov 04, 2022",21145.90,"20,206.40","21,281.90","20,184.60",499.50K,4.65%,,04/11/2022
"Nov 03, 2022",20206.40,"20,154.00","20,384.50","20,066.60",347.23K,0.26%,,03/11/2022
"Nov 02, 2022",20154.40,"20,482.90","20,778.30","20,065.80",420.23K,-1.61%,,02/11/2022
"Nov 01, 2022",20483.50,"20,496.10","20,676.60","20,348.10",302.72K,-0.06%,,01/11/2022
"Oct 31, 2022",20496.30,"20,626.00","20,822.40","20,260.00",327.47K,-0.63%,,31/10/2022
"Oct 30, 2022",20626.30,"20,809.40","20,922.30","20,522.50",207.63K,-0.88%,,30/10/2022
"Oct 29, 2022",20809.80,"20,594.20","21,038.10","20,561.90",276.54K,1.05%,,29/10/2022
"Oct 28, 2022",20594.40,"20,293.00","20,744.00","20,058.20",318.90K,1.49%,,28/10/2022
"Oct 27, 2022",20292.90,"20,769.50","20,867.90","20,231.60",365.49K,-2.29%,,27/10/2022
"Oct 26, 2022",20769.50,"20,086.80","20,981.50","20,062.90",427.99K,3.42%,,26/10/2022
"Oct 25, 2022",20082.70,"19,331.80","20,406.90","19,249.00",371.54K,3.89%,,25/10/2022
"Oct 24, 2022",19331.50,"19,571.20","19,588.60","19,177.20",286.94K,-1.22%,,24/10/2022
"Oct 23, 2022",19571.20,"19,204.80","19,680.90","19,092.50",180.63K,1.91%,,23/10/2022
"Oct 22, 2022",19204.80,"19,162.60","19,249.90","19,116.10",118.24K,0.22%,,22/10/2022
"Oct 21, 2022",19162.60,"19,042.90","19,245.50","18,703.30",294.66K,0.63%,,21/10/2022
