Price,Open,High,Low,Vol.,Change %,date2,,
1.4311,1.4311,1.4315,1.4302,21.49,0.00%,2022-11-21,,
1.4311,1.4321,1.4331,1.431,21.47,-0.07%,2022-11-20,,
1.4321,1.4322,1.4322,1.432,21.49,0.00%,2022-11-19,,
1.4322,1.4331,1.4332,1.432,21.67,-0.06%,2022-11-18,,
1.4331,1.4337,1.4349,1.4328,21.45,-0.05%,2022-11-17,,
1.4337,1.4433,1.4442,1.4331,21.66,-0.66%,2022-11-16,,
1.4433,1.4899,1.6419,1.3988,22.31,-3.13%,2022-11-15,,
1.4899,1.5135,1.8803,1.2374,46.38,-1.57%,2022-11-14,,
1.5137,2.1037,2.2602,1.4297,68.38,-28.05%,2022-11-13,,
2.1037,2.6005,2.6345,1.8534,64.54,-19.10%,2022-11-12,,
2.6004,3.5082,3.73,2.4205,84.02,-25.92%,2022-11-11,,
3.5103,2.2607,4.4019,2.1256,136.7,55.27%,2022-11-10,,
2.2607,5.4899,6.3496,2.0209,138.59,-58.82%,2022-11-09,,
5.4899,22.0903,22.0912,2.6777,150.14,-75.15%,2022-11-08,,
22.0903,22.2692,23.2888,21.7213,8.34,-0.81%,2022-11-07,,
22.2702,24.0716,25.0247,21.6022,5.79,-7.47%,2022-11-06,,
24.0682,25.4594,25.8305,23.8706,0.65691,-5.46%,2022-11-05,,656.91
25.4593,24.36,25.821,24.1303,0.55759,4.51%,2022-11-04,,557.59
24.36,25.02,25.3305,24.2396,0.51742,-2.64%,2022-11-03,,517.42
25.02,25.8507,26.2574,24.93,0.36966,-3.21%,2022-11-02,,369.66
25.8507,26.0923,26.4174,25.5913,0.23636,-0.93%,2022-11-01,,236.36
26.0923,25.6397,26.4821,25.3666,0.49909,1.73%,2022-10-31,,499.09
25.6486,25.43,25.9996,25.2895,0.214,0.86%,2022-10-30,,214
25.43,24.7722,25.7884,24.7093,0.23814,2.66%,2022-10-29,,238.14
24.7706,24.2602,24.9992,23.9889,0.19847,2.10%,2022-10-28,,198.47
24.2602,24.6495,24.9601,24.1613,0.31658,-1.58%,2022-10-27,,316.58
24.6495,23.8516,24.9513,23.8108,0.3301,3.35%,2022-10-26,,330.1
23.8516,22.79,24.4302,22.6704,0.3528,4.66%,2022-10-25,,352.8
22.79,23.1495,23.2181,22.571,0.12364,-1.55%,2022-10-24,,123.64
23.1495,22.5887,23.228,22.4098,0.17232,2.48%,2022-10-23,,172.32
22.5887,22.4487,22.6511,22.3402,0.08272,0.62%,2022-10-22,,82.72
22.4487,22.4102,22.5698,21.9708,0.13045,0.17%,2022-10-21,,130.45
